label,method,augmentation,image_a,image_b,keypoints_original,keypoints_augmented,good_matches
real,SIFT,gaussian_blur,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\real\id0_0000_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_blur\train\real\id0_0000_f0000_gaussian_blur.jpg,44,32,26
real,SIFT,gaussian_noise,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\real\id0_0000_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_noise\train\real\id0_0000_f0000_gaussian_noise.jpg,44,57,20
real,SIFT,jpeg_compression,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\real\id0_0000_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\jpeg_compression\train\real\id0_0000_f0000_jpeg_compression.jpg,44,47,31
real,ORB,gaussian_blur,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\real\id0_0000_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_blur\train\real\id0_0000_f0000_gaussian_blur.jpg,11,3,4
real,ORB,gaussian_noise,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\real\id0_0000_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_noise\train\real\id0_0000_f0000_gaussian_noise.jpg,11,150,4
real,ORB,jpeg_compression,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\real\id0_0000_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\jpeg_compression\train\real\id0_0000_f0000_jpeg_compression.jpg,11,11,9
real,AKAZE,gaussian_blur,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\real\id0_0000_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_blur\train\real\id0_0000_f0000_gaussian_blur.jpg,5,2,2
real,AKAZE,gaussian_noise,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\real\id0_0000_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_noise\train\real\id0_0000_f0000_gaussian_noise.jpg,5,6,3
real,AKAZE,jpeg_compression,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\real\id0_0000_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\jpeg_compression\train\real\id0_0000_f0000_jpeg_compression.jpg,5,5,5
fake,SIFT,gaussian_blur,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\fake\id0_id17_0001_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_blur\train\fake\id0_id17_0001_f0000_gaussian_blur.jpg,28,20,14
fake,SIFT,gaussian_noise,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\fake\id0_id17_0001_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_noise\train\fake\id0_id17_0001_f0000_gaussian_noise.jpg,28,65,21
fake,SIFT,jpeg_compression,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\fake\id0_id17_0001_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\jpeg_compression\train\fake\id0_id17_0001_f0000_jpeg_compression.jpg,28,40,21
fake,ORB,gaussian_blur,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\fake\id0_id17_0001_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_blur\train\fake\id0_id17_0001_f0000_gaussian_blur.jpg,9,6,5
fake,ORB,gaussian_noise,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\fake\id0_id17_0001_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_noise\train\fake\id0_id17_0001_f0000_gaussian_noise.jpg,9,160,2
fake,ORB,jpeg_compression,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\fake\id0_id17_0001_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\jpeg_compression\train\fake\id0_id17_0001_f0000_jpeg_compression.jpg,9,12,4
fake,AKAZE,gaussian_blur,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\fake\id0_id17_0001_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_blur\train\fake\id0_id17_0001_f0000_gaussian_blur.jpg,1,1,0
fake,AKAZE,gaussian_noise,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\fake\id0_id17_0001_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\gaussian_noise\train\fake\id0_id17_0001_f0000_gaussian_noise.jpg,1,2,1
fake,AKAZE,jpeg_compression,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\original\train\fake\id0_id17_0001_f0000_original.jpg,C:\Users\Kei\Documents\computer-vision\Comp_pision\dataset\jpeg_compression\train\fake\id0_id17_0001_f0000_jpeg_compression.jpg,1,1,0
